Burden of Disease group condition,Risk factor, Expenditure attributable to risk factor ($) ,Percentage of expenditure attributable to risk factor (%)
Chronic liver disease,Illicit drug use,44065751,23.3
Chronic liver disease,Unsafe sex,1431588,0.8
Chronic liver disease,Risk factor undetermined or not relevant,113424972,59.9
Chronic lymphocytic leukaemia (CLL),Occupational exposures & hazards,3683928,3.1
Chronic lymphocytic leukaemia (CLL),Overweight (including obesity),12454287,10.4
Chronic lymphocytic leukaemia (CLL),Tobacco use,12750062,10.6
Chronic lymphocytic leukaemia (CLL),Risk factor undetermined or not relevant,91047485,75.9
Chronic myeloid leukaemia (CML),Occupational exposures & hazards,3508458,3.2
Chronic myeloid leukaemia (CML),Overweight (including obesity),11795661,10.7
Chronic myeloid leukaemia (CML),Tobacco use,7876325,7.1
Chronic myeloid leukaemia (CML),Risk factor undetermined or not relevant,87488303,79.1
COPD,Air pollution,57352474,6.1
COPD,Occupational exposures & hazards,22250176,2.4
COPD,Tobacco use,615859990,65.9
COPD,Risk factor undetermined or not relevant,239436421,25.6
Coronary heart disease,Air pollution,94012879,4
Coronary heart disease,Alcohol use,38019758,1.6
Coronary heart disease,Dietary risks,516399681,22.1
Coronary heart disease,High blood plasma glucose,62976217,2.7
Coronary heart disease,High blood pressure,468783421,20
Coronary heart disease,High cholesterol,358504560,15.3
Coronary heart disease,Impaired kidney function,71020521,3
Coronary heart disease,Overweight (including obesity),172566573,7.4
Coronary heart disease,Physical inactivity,140573786,6
Coronary heart disease,Tobacco use,139550695,6
Coronary heart disease,Risk factor undetermined or not relevant,275715959,11.8
Dementia,High blood plasma glucose,28401722,5.9
Dementia,High blood pressure,13001836,2.7
Dementia,Impaired kidney function,31894980,6.7
Dementia,Overweight (including obesity),77756606,16.3
Dementia,Physical inactivity,45684179,9.6
Dementia,Tobacco use,9000006,1.9
Dementia,Risk factor undetermined or not relevant,272349423,57
Depressive disorders,Bullying victimisation,27456527,1.3
Depressive disorders,Child abuse & neglect,381489355,18.6
Depressive disorders,Illicit drug use,7934815,0.4
Depressive disorders,Intimate partner violence,178296435,8.7
Depressive disorders,Risk factor undetermined or not relevant,1460278241,71
Drowning,Alcohol use,1080534,11
Drowning,Risk factor undetermined or not relevant,8768743,89
Drug use disorders (excl. alcohol),Illicit drug use,620773787,99.6
Drug use disorders (excl. alcohol),Risk factor undetermined or not relevant,2272225,0.4
Early pregnancy loss,Intimate partner violence,46535810,19.2
Early pregnancy loss,Risk factor undetermined or not relevant,196435434,80.8
Epilepsy,Alcohol use,45875421,14.9
Epilepsy,Risk factor undetermined or not relevant,262649450,85.1
Falls,Alcohol use,290188613,7.2
Falls,Low bone mineral density,1152959892,28.7
Falls,Risk factor undetermined or not relevant,2568317900,64
"Fire, burns and scalds",Alcohol use,10899898,10.7
"Fire, burns and scalds",Risk factor undetermined or not relevant,90970631,89.3
Gallbladder and bile duct disease,Overweight (including obesity),350143830,39.8
Gallbladder and bile duct disease,Tobacco use,18146952,2.1
Gallbladder and bile duct disease,Risk factor undetermined or not relevant,511537455,58.1
Gallbladder cancer,Overweight (including obesity),7052433,24.6
Gallbladder cancer,Risk factor undetermined or not relevant,21574670,75.4
Gastroduodenal disorders,Tobacco use,26951461,9.9
Gastroduodenal disorders,Risk factor undetermined or not relevant,245229596,90.1
Glaucoma,High blood plasma glucose,20042998,7.1
Glaucoma,Risk factor undetermined or not relevant,263632884,92.9
Gonorrhoea,Unsafe sex,6943572,100
Gout,Impaired kidney function,25149747,12.4
Gout,Overweight (including obesity),79786169,39.4
Gout,Risk factor undetermined or not relevant,97772499,48.2
Hearing loss,Occupational exposures & hazards,34833023,8.3
Hearing loss,Risk factor undetermined or not relevant,383331202,91.7
Hepatitis B (acute),Illicit drug use,23539506,29.5
Hepatitis B (acute),Unsafe sex,13096304,16.4
Hepatitis B (acute),Risk factor undetermined or not relevant,43288814,54.2
Hepatitis C (acute),Illicit drug use,519560465,70.7
Hepatitis C (acute),Unsafe sex,40632566,5.5
Hepatitis C (acute),Risk factor undetermined or not relevant,174893931,23.8
HIV/AIDS,Illicit drug use,24937426,6.7
HIV/AIDS,Unsafe sex,317087514,85.3
HIV/AIDS,Risk factor undetermined or not relevant,29844381,8
Homicide and violence,Alcohol use,63044239,16
Homicide and violence,Intimate partner violence,65727218,16.7
Homicide and violence,Risk factor undetermined or not relevant,264625487,67.3
Hypertensive heart disease,Alcohol use,5479084,9.2
Hypertensive heart disease,High blood pressure,30883138,51.7
Hypertensive heart disease,Tobacco use,5477955,9.2
Hypertensive heart disease,Risk factor undetermined or not relevant,17867096,29.9
Inflammatory heart disease,High blood pressure,6805447,5.3
Inflammatory heart disease,Risk factor undetermined or not relevant,120585643,94.7
Influenza,Tobacco use,627505,0.4
Influenza,Risk factor undetermined or not relevant,153085575,99.6
Iron-deficiency anaemia,Iron deficiency,277371915,100
Kidney cancer,Occupational exposures & hazards,18877,0
Kidney cancer,Overweight (including obesity),42140088,24.3
Kidney cancer,Tobacco use,22778320,13.1
Kidney cancer,Risk factor undetermined or not relevant,108803515,62.6
Laryngeal cancer,Alcohol use,4012995,18.6
Laryngeal cancer,Occupational exposures & hazards,412433,1.9
Laryngeal cancer,Tobacco use,12577079,58.2
Laryngeal cancer,Risk factor undetermined or not relevant,4612645,21.3
Lip and oral cavity cancer,Alcohol use,20173781,26.8
Lip and oral cavity cancer,Tobacco use,31199090,41.5
Lip and oral cavity cancer,Risk factor undetermined or not relevant,23796041,31.7
Liver cancer,Alcohol use,29966044,25.8
Liver cancer,High blood plasma glucose,4913652,4.2
Liver cancer,Illicit drug use,19484997,16.8
Liver cancer,Overweight (including obesity),18476559,15.9
Liver cancer,Tobacco use,13729577,11.8
Liver cancer,Unsafe sex,633033,0.5
Liver cancer,Risk factor undetermined or not relevant,29074105,25
Lower respiratory infections,Air pollution,79986452,5.3
Lower respiratory infections,Alcohol use,92726418,6.2
Lower respiratory infections,Tobacco use,200658310,13.3
Lower respiratory infections,Risk factor undetermined or not relevant,1133884852,75.2
Lung cancer,Air pollution,17937039,2.8
Lung cancer,Dietary risks,19480722,3.1
Lung cancer,High blood plasma glucose,35522389,5.6
Lung cancer,Occupational exposures & hazards,37855783,6
Lung cancer,Tobacco use,403716308,63.7
Lung cancer,Risk factor undetermined or not relevant,119493851,18.8
Melanoma of the skin,High sun exposure,321484247,90
Melanoma of the skin,Risk factor undetermined or not relevant,35720472,10
Mesothelioma,Occupational exposures & hazards,16948759,61.9
Mesothelioma,Risk factor undetermined or not relevant,10438116,38.1
Multiple sclerosis,Tobacco use,39874332,7.5
Multiple sclerosis,Risk factor undetermined or not relevant,493311177,92.5
Myeloma,Overweight (including obesity),35710140,10.5
Myeloma,Risk factor undetermined or not relevant,305701325,89.5
Nasopharyngeal cancer,Alcohol use,3904101,28.9
Nasopharyngeal cancer,Occupational exposures & hazards,18687,0.1
Nasopharyngeal cancer,Tobacco use,4127032,30.5
Nasopharyngeal cancer,Risk factor undetermined or not relevant,5466166,40.4
Non-Hodgkin lymphoma,Overweight (including obesity),39467237,9.2
Non-Hodgkin lymphoma,Risk factor undetermined or not relevant,387718516,90.8
Non-melanoma skin cancer,High sun exposure,920634338,70
Non-melanoma skin cancer,Risk factor undetermined or not relevant,394557573,30
Non-rheumatic valvular disease,High blood pressure,95595211,22.4
Non-rheumatic valvular disease,Risk factor undetermined or not relevant,330581005,77.6
Oesophageal cancer,Alcohol use,10952046,12.1
Oesophageal cancer,Dietary risks,13447998,14.9
Oesophageal cancer,Overweight (including obesity),18552987,20.5
Oesophageal cancer,Tobacco use,29932122,33.1
Oesophageal cancer,Risk factor undetermined or not relevant,17658167,19.5
Osteoarthritis,Overweight (including obesity),1109325932,28.6
Osteoarthritis,Risk factor undetermined or not relevant,2769019631,71.4
Other cardiovascular diseases,Tobacco use,715137198,11.8
Other cardiovascular diseases,Risk factor undetermined or not relevant,5321304641,88.2
Other diabetes,High blood plasma glucose,648145042,100
Other land transport injuries,Alcohol use,89823211,25.2
Other land transport injuries,Risk factor undetermined or not relevant,267272364,74.8
Other leukaemias,Occupational exposures & hazards,1598034,3
Other leukaemias,Overweight (including obesity),5397840,10
Other leukaemias,Tobacco use,4530940,8.4
Other leukaemias,Risk factor undetermined or not relevant,42353851,78.6
"Other lip, oral cavity and pharynx cancers",Alcohol use,10148025,37.1
"Other lip, oral cavity and pharynx cancers",Risk factor undetermined or not relevant,17194406,62.9
Other pneumoconiosis,Occupational exposures & hazards,726263,99
Other pneumoconiosis,Risk factor undetermined or not relevant,7121,1
Other respiratory disease,Tobacco use,181940710,12.6
Other respiratory disease,Risk factor undetermined or not relevant,1266552552,87.4
Other sexually transmitted infections,Unsafe sex,60229029,100
Other unintentional injuries,Alcohol use,343831588,13.1
Other unintentional injuries,Risk factor undetermined or not relevant,2283882736,86.9
Otitis media,Tobacco use,1840125,0.6
Otitis media,Risk factor undetermined or not relevant,308102128,99.4
Ovarian cancer,High blood plasma glucose,6155519,4.7
Ovarian cancer,Occupational exposures & hazards,211330,0.2
Ovarian cancer,Overweight (including obesity),5556789,4.3
Ovarian cancer,Risk factor undetermined or not relevant,118176142,90.8
Pancreatic cancer,High blood plasma glucose,9825889,5.8
Pancreatic cancer,Overweight (including obesity),14320827,8.4
Pancreatic cancer,Tobacco use,31974480,18.7
Pancreatic cancer,Risk factor undetermined or not relevant,114751784,67.2
Pancreatitis,Alcohol use,21203005,11.1
Pancreatitis,Risk factor undetermined or not relevant,170192289,88.9
Peripheral vascular disease,High blood plasma glucose,74711843,16.2
Peripheral vascular disease,High blood pressure,80776521,17.5
Peripheral vascular disease,Impaired kidney function,39735646,8.6
Peripheral vascular disease,Tobacco use,36496128,7.9
Peripheral vascular disease,Risk factor undetermined or not relevant,229222027,49.7
Poisoning,Alcohol use,8835667,9.3
Poisoning,Illicit drug use,51670177,54.5
Poisoning,Risk factor undetermined or not relevant,34380146,36.2
Pre-term birth and low birth weight complications,Low birth weight & short gestation,555978192,100
Pre-term birth and low birth weight complications,Risk factor undetermined or not relevant, -   , -   
Prostate cancer,Tobacco use,52146752,4.4
Prostate cancer,Risk factor undetermined or not relevant,1120006318,95.6
Rheumatic heart disease (incl. acute rheumatic fever),High blood pressure,19048536,20.4
Rheumatic heart disease (incl. acute rheumatic fever),Risk factor undetermined or not relevant,74115756,79.6
Rheumatoid arthritis,Tobacco use,37960122,4.4
Rheumatoid arthritis,Risk factor undetermined or not relevant,826085891,95.6
Road traffic injury  - motor vehicle occupants,Alcohol use,106861228,22.8
Road traffic injury  - motor vehicle occupants,Illicit drug use,11456010,2.4
Road traffic injury  - motor vehicle occupants,Risk factor undetermined or not relevant,349770071,74.7
Road traffic injury  - pedal cyclists,Alcohol use,31627939,24.8
Road traffic injury  - pedal cyclists,Risk factor undetermined or not relevant,96063751,75.2
Road traffic injury  - pedestrians,Alcohol use,12188961,22.1
Road traffic injury  - pedestrians,Risk factor undetermined or not relevant,42976053,77.9
Road traffic injury - motorcyclists,Alcohol use,42891710,27.2
Road traffic injury - motorcyclists,Illicit drug use,6136719,3.9
Road traffic injury - motorcyclists,Risk factor undetermined or not relevant,108635404,68.9
Schizophrenia,Illicit drug use,32351889,2.7
Schizophrenia,Risk factor undetermined or not relevant,1163809241,97.3
Silicosis,Occupational exposures & hazards,737395,100
Stomach cancer,Tobacco use,17208965,13.8
Stomach cancer,Risk factor undetermined or not relevant,107723167,86.2
Stroke,Air pollution,34639970,5.2
Stroke,Alcohol use,21073773,3.2
Stroke,Dietary risks,84108902,12.7
Stroke,High blood plasma glucose,19659609,3
Stroke,High blood pressure,158461695,23.9
Stroke,High cholesterol,54449168,8.2
Stroke,Impaired kidney function,25485105,3.8
Stroke,Overweight (including obesity),17030848,2.6
Stroke,Physical inactivity,31413506,4.7
Stroke,Tobacco use,45528410,6.9
Stroke,Risk factor undetermined or not relevant,170442363,25.7
Suicide and self-inflicted injuries,Alcohol use,20433290,8.8
Suicide and self-inflicted injuries,Child abuse & neglect,53946341,23.2
Suicide and self-inflicted injuries,Illicit drug use,20531336,8.8
Suicide and self-inflicted injuries,Intimate partner violence,18208247,7.8
Suicide and self-inflicted injuries,Risk factor undetermined or not relevant,119800344,51.4
Syphilis,Unsafe sex,8733982,100
Thyroid cancer,Overweight (including obesity),15520820,16.3
Thyroid cancer,Risk factor undetermined or not relevant,79610816,83.7
Type 1 diabetes,High blood plasma glucose,283976202,100
Type 2 diabetes,Air pollution,68089366,4.4
Type 2 diabetes,Dietary risks,298981721,19.4
Type 2 diabetes,High blood plasma glucose,1541577945,100
Type 2 diabetes,Overweight (including obesity),568422094,36.9
Type 2 diabetes,Physical inactivity,206820941,13.4
Type 2 diabetes,Tobacco use,41053988,2.7
Type 2 diabetes,All risk factors combined,1541577945,100
Uterine cancer,Overweight (including obesity),36727247,43.5
Uterine cancer,Physical inactivity,11518912,13.6
Uterine cancer,Risk factor undetermined or not relevant,36273566,42.9
